episode,total_reward,steps,picked
1,597.6,200,200
2,684.6,200,200
3,695.6,149,149
4,705.8,200,200
5,654.0,200,200
6,687.8,200,200
7,677.4,200,200
8,509.9,200,200
9,751.6,196,196
10,750.4,175,175
11,660.0,200,200
12,500.2,200,200
13,739.6,200,200
14,730.5,200,200
15,649.3,200,200
16,713.0,200,200
17,711.9,151,151
18,534.3,200,200
19,813.3,174,174
20,612.6,200,200
21,652.4,200,200
22,688.8,200,200
23,689.2,200,200
24,661.5,200,200
25,711.2,200,200
26,672.0,200,200
27,538.3,200,200
28,696.7,200,200
29,698.6,200,200
30,524.7,200,200
31,637.1,200,200
32,697.1,200,200
33,750.3,175,175
34,780.4,181,181
35,539.9,200,200
36,714.7,200,200
37,668.6,200,200
38,648.9,200,200
39,618.3,200,200
40,638.7,200,200
41,504.6,200,200
42,712.2,200,200
43,641.4,200,200
44,727.4,200,200
45,675.0,200,200
46,684.4,200,200
47,723.1,200,200
48,721.8,200,200
49,712.5,164,164
50,735.7,200,200
